"Date","Week","Month","Year","Company","Month Bid For","Year Bid For","Near-Month Indicator","Train_Type","Bid","Year-Month Bid For"
"1997 May 03","18","5","1997","BNSF","5","1997","true","Non_Shuttle","-95","1997-05"
"1997 May 03","18","5","1997","BNSF","8","1997","false","Non_Shuttle","0","1997-08"
"1997 May 03","18","5","1997","UP","5","1997","true","Non_Shuttle","-28","1997-05"
"1997 May 03","18","5","1997","UP","8","1997","false","Non_Shuttle","2","1997-08"
"1997 May 17","20","5","1997","BNSF","5","1997","true","Non_Shuttle","-83","1997-05"
"1997 May 17","20","5","1997","BNSF","6","1997","true","Non_Shuttle","-42","1997-06"
"1997 May 17","20","5","1997","BNSF","7","1997","false","Non_Shuttle","-25","1997-07"
"1997 May 17","20","5","1997","BNSF","8","1997","false","Non_Shuttle","-15","1997-08"
"1997 May 17","20","5","1997","UP","5","1997","true","Non_Shuttle","-20","1997-05"
"1997 May 17","20","5","1997","UP","6","1997","true","Non_Shuttle","-19","1997-06"
"1997 May 17","20","5","1997","UP","7","1997","false","Non_Shuttle","-10","1997-07"
"1997 May 17","20","5","1997","UP","8","1997","false","Non_Shuttle","14","1997-08"
"1997 May 24","21","5","1997","BNSF","6","1997","true","Non_Shuttle","-53","1997-06"
"1997 May 24","21","5","1997","BNSF","7","1997","false","Non_Shuttle","-43","1997-07"
"1997 May 24","21","5","1997","BNSF","8","1997","false","Non_Shuttle","-24","1997-08"
"1997 May 24","21","5","1997","BNSF","9","1997","false","Non_Shuttle","10","1997-09"
"1997 May 24","21","5","1997","UP","6","1997","true","Non_Shuttle","-18","1997-06"
"1997 May 24","21","5","1997","UP","7","1997","false","Non_Shuttle","-13","1997-07"
"1997 May 24","21","5","1997","UP","8","1997","false","Non_Shuttle","9","1997-08"
"1997 May 24","21","5","1997","UP","9","1997","false","Non_Shuttle","27","1997-09"
"1997 May 31","22","5","1997","BNSF","6","1997","true","Non_Shuttle","-112","1997-06"
"1997 May 31","22","5","1997","BNSF","7","1997","false","Non_Shuttle","-102","1997-07"
"1997 May 31","22","5","1997","BNSF","8","1997","false","Non_Shuttle","-94","1997-08"
"1997 May 31","22","5","1997","BNSF","9","1997","false","Non_Shuttle","-6","1997-09"
"1997 May 31","22","5","1997","UP","6","1997","true","Non_Shuttle","-23","1997-06"
"1997 May 31","22","5","1997","UP","7","1997","false","Non_Shuttle","-18","1997-07"
"1997 May 31","22","5","1997","UP","8","1997","false","Non_Shuttle","3","1997-08"
"1997 May 31","22","5","1997","UP","9","1997","false","Non_Shuttle","23","1997-09"
"1997 June 07","23","6","1997","BNSF","6","1997","true","Non_Shuttle","-65","1997-06"
"1997 June 07","23","6","1997","BNSF","7","1997","false","Non_Shuttle","-86","1997-07"
"1997 June 07","23","6","1997","BNSF","8","1997","false","Non_Shuttle","-66","1997-08"
"1997 June 07","23","6","1997","BNSF","9","1997","false","Non_Shuttle","-17","1997-09"
"1997 June 07","23","6","1997","UP","6","1997","true","Non_Shuttle","-21","1997-06"
"1997 June 07","23","6","1997","UP","7","1997","false","Non_Shuttle","-11","1997-07"
"1997 June 07","23","6","1997","UP","8","1997","false","Non_Shuttle","10","1997-08"
"1997 June 07","23","6","1997","UP","9","1997","false","Non_Shuttle","23","1997-09"
"1997 June 14","24","6","1997","BNSF","7","1997","false","Non_Shuttle","-83","1997-07"
"1997 June 14","24","6","1997","BNSF","8","1997","false","Non_Shuttle","-48","1997-08"
"1997 June 14","24","6","1997","BNSF","9","1997","false","Non_Shuttle","-10","1997-09"
"1997 June 14","24","6","1997","BNSF","10","1997","false","Non_Shuttle","43","1997-10"
"1997 June 14","24","6","1997","UP","7","1997","false","Non_Shuttle","-10","1997-07"
"1997 June 14","24","6","1997","UP","8","1997","false","Non_Shuttle","24","1997-08"
"1997 June 14","24","6","1997","UP","9","1997","false","Non_Shuttle","33","1997-09"
"1997 June 14","24","6","1997","UP","10","1997","false","Non_Shuttle","101","1997-10"
"1997 June 21","25","6","1997","BNSF","7","1997","true","Non_Shuttle","-41","1997-07"
"1997 June 21","25","6","1997","BNSF","8","1997","false","Non_Shuttle","-19","1997-08"
"1997 June 21","25","6","1997","BNSF","9","1997","false","Non_Shuttle","0","1997-09"
"1997 June 21","25","6","1997","BNSF","10","1997","false","Non_Shuttle","77","1997-10"
"1997 June 21","25","6","1997","UP","7","1997","true","Non_Shuttle","-14","1997-07"
"1997 June 21","25","6","1997","UP","8","1997","false","Non_Shuttle","22","1997-08"
"1997 June 21","25","6","1997","UP","9","1997","false","Non_Shuttle","30","1997-09"
"1997 June 21","25","6","1997","UP","10","1997","false","Non_Shuttle","110","1997-10"
"1997 June 28","26","6","1997","BNSF","7","1997","true","Non_Shuttle","-34","1997-07"
"1997 June 28","26","6","1997","BNSF","8","1997","false","Non_Shuttle","-2","1997-08"
"1997 June 28","26","6","1997","BNSF","9","1997","false","Non_Shuttle","10","1997-09"
"1997 June 28","26","6","1997","BNSF","10","1997","false","Non_Shuttle","96","1997-10"
"1997 June 28","26","6","1997","UP","8","1997","false","Non_Shuttle","26","1997-08"
"1997 June 28","26","6","1997","UP","9","1997","false","Non_Shuttle","38","1997-09"
"1997 June 28","26","6","1997","UP","10","1997","false","Non_Shuttle","143","1997-10"
"1997 July 05","27","7","1997","BNSF","7","1997","true","Non_Shuttle","-44","1997-07"
"1997 July 05","27","7","1997","BNSF","8","1997","false","Non_Shuttle","-6","1997-08"
"1997 July 05","27","7","1997","BNSF","9","1997","false","Non_Shuttle","20","1997-09"
"1997 July 05","27","7","1997","BNSF","10","1997","false","Non_Shuttle","138","1997-10"
"1997 July 05","27","7","1997","UP","7","1997","true","Non_Shuttle","-5","1997-07"
"1997 July 05","27","7","1997","UP","8","1997","false","Non_Shuttle","28","1997-08"
"1997 July 05","27","7","1997","UP","9","1997","false","Non_Shuttle","45","1997-09"
"1997 July 05","27","7","1997","UP","10","1997","false","Non_Shuttle","137","1997-10"
"1997 July 12","28","7","1997","BNSF","7","1997","true","Non_Shuttle","-93","1997-07"
"1997 July 12","28","7","1997","BNSF","8","1997","false","Non_Shuttle","-43","1997-08"
"1997 July 12","28","7","1997","BNSF","9","1997","false","Non_Shuttle","15","1997-09"
"1997 July 12","28","7","1997","BNSF","10","1997","false","Non_Shuttle","126","1997-10"
"1997 July 12","28","7","1997","UP","7","1997","true","Non_Shuttle","3","1997-07"
"1997 July 12","28","7","1997","UP","8","1997","false","Non_Shuttle","19","1997-08"
"1997 July 12","28","7","1997","UP","9","1997","false","Non_Shuttle","40","1997-09"
"1997 July 12","28","7","1997","UP","10","1997","false","Non_Shuttle","171","1997-10"
"1997 July 19","29","7","1997","BNSF","7","1997","true","Non_Shuttle","-45","1997-07"
"1997 July 19","29","7","1997","BNSF","8","1997","true","Non_Shuttle","-26","1997-08"
"1997 July 19","29","7","1997","BNSF","10","1997","false","Non_Shuttle","98","1997-10"
"1997 July 19","29","7","1997","UP","7","1997","true","Non_Shuttle","37","1997-07"
"1997 July 19","29","7","1997","UP","8","1997","true","Non_Shuttle","31","1997-08"
"1997 July 19","29","7","1997","UP","9","1997","false","Non_Shuttle","41","1997-09"
"1997 July 19","29","7","1997","UP","10","1997","false","Non_Shuttle","132","1997-10"
"1997 July 26","30","7","1997","BNSF","8","1997","true","Non_Shuttle","17","1997-08"
"1997 July 26","30","7","1997","BNSF","9","1997","false","Non_Shuttle","22","1997-09"
"1997 July 26","30","7","1997","BNSF","10","1997","false","Non_Shuttle","122","1997-10"
"1997 July 26","30","7","1997","BNSF","11","1997","false","Non_Shuttle","175","1997-11"
"1997 July 26","30","7","1997","BNSF","12","1997","false","Non_Shuttle","157","1997-12"
"1997 July 26","30","7","1997","BNSF","1","1998","false","Non_Shuttle","122","1998-01"
"1997 July 26","30","7","1997","UP","8","1997","true","Non_Shuttle","53","1997-08"
"1997 July 26","30","7","1997","UP","9","1997","false","Non_Shuttle","56","1997-09"
"1997 July 26","30","7","1997","UP","10","1997","false","Non_Shuttle","155","1997-10"
"1997 July 26","30","7","1997","UP","11","1997","false","Non_Shuttle","169","1997-11"
"1997 July 26","30","7","1997","UP","12","1997","false","Non_Shuttle","166","1997-12"
"1997 July 26","30","7","1997","UP","1","1998","false","Non_Shuttle","143","1998-01"
"1997 August 02","31","8","1997","BNSF","8","1997","true","Non_Shuttle","144","1997-08"
"1997 August 02","31","8","1997","BNSF","9","1997","false","Non_Shuttle","104","1997-09"
"1997 August 02","31","8","1997","BNSF","10","1997","false","Non_Shuttle","182","1997-10"
"1997 August 02","31","8","1997","BNSF","11","1997","false","Non_Shuttle","208","1997-11"
"1997 August 02","31","8","1997","BNSF","12","1997","false","Non_Shuttle","202","1997-12"
"1997 August 02","31","8","1997","BNSF","1","1998","false","Non_Shuttle","189","1998-01"
"1997 August 02","31","8","1997","UP","8","1997","true","Non_Shuttle","125","1997-08"
"1997 August 02","31","8","1997","UP","9","1997","false","Non_Shuttle","138","1997-09"
"1997 August 02","31","8","1997","UP","10","1997","false","Non_Shuttle","200","1997-10"
"1997 August 02","31","8","1997","UP","11","1997","false","Non_Shuttle","210","1997-11"
"1997 August 02","31","8","1997","UP","12","1997","false","Non_Shuttle","201","1997-12"
"1997 August 02","31","8","1997","UP","1","1998","false","Non_Shuttle","158","1998-01"
"1997 August 09","32","8","1997","BNSF","8","1997","true","Non_Shuttle","184","1997-08"
"1997 August 09","32","8","1997","BNSF","9","1997","false","Non_Shuttle","138","1997-09"
"1997 August 09","32","8","1997","BNSF","10","1997","false","Non_Shuttle","191","1997-10"
"1997 August 09","32","8","1997","BNSF","11","1997","false","Non_Shuttle","205","1997-11"
"1997 August 09","32","8","1997","BNSF","12","1997","false","Non_Shuttle","184","1997-12"
"1997 August 09","32","8","1997","BNSF","1","1998","false","Non_Shuttle","182","1998-01"
"1997 August 09","32","8","1997","UP","8","1997","true","Non_Shuttle","148","1997-08"
"1997 August 09","32","8","1997","UP","9","1997","false","Non_Shuttle","136","1997-09"
"1997 August 09","32","8","1997","UP","10","1997","false","Non_Shuttle","184","1997-10"
"1997 August 09","32","8","1997","UP","11","1997","false","Non_Shuttle","200","1997-11"
"1997 August 09","32","8","1997","UP","12","1997","false","Non_Shuttle","189","1997-12"
"1997 August 09","32","8","1997","UP","1","1998","false","Non_Shuttle","208","1998-01"
"1997 August 16","33","8","1997","BNSF","8","1997","true","Non_Shuttle","189","1997-08"
"1997 August 16","33","8","1997","BNSF","9","1997","true","Non_Shuttle","138","1997-09"
"1997 August 16","33","8","1997","BNSF","10","1997","false","Non_Shuttle","177","1997-10"
"1997 August 16","33","8","1997","BNSF","11","1997","false","Non_Shuttle","205","1997-11"
"1997 August 16","33","8","1997","BNSF","12","1997","false","Non_Shuttle","180","1997-12"
"1997 August 16","33","8","1997","BNSF","1","1998","false","Non_Shuttle","168","1998-01"
"1997 August 16","33","8","1997","UP","9","1997","true","Non_Shuttle","138","1997-09"
"1997 August 16","33","8","1997","UP","10","1997","false","Non_Shuttle","184","1997-10"
"1997 August 16","33","8","1997","UP","11","1997","false","Non_Shuttle","208","1997-11"
"1997 August 16","33","8","1997","UP","12","1997","false","Non_Shuttle","184","1997-12"
"1997 August 16","33","8","1997","UP","1","1998","false","Non_Shuttle","190","1998-01"
"1997 August 23","34","8","1997","BNSF","9","1997","true","Non_Shuttle","86","1997-09"
"1997 August 23","34","8","1997","BNSF","10","1997","false","Non_Shuttle","143","1997-10"
"1997 August 23","34","8","1997","BNSF","11","1997","false","Non_Shuttle","164","1997-11"
"1997 August 23","34","8","1997","BNSF","12","1997","false","Non_Shuttle","152","1997-12"
"1997 August 23","34","8","1997","BNSF","1","1998","false","Non_Shuttle","148","1998-01"
"1997 August 23","34","8","1997","BNSF","2","1998","false","Non_Shuttle","118","1998-02"
"1997 August 23","34","8","1997","UP","9","1997","true","Non_Shuttle","107","1997-09"
"1997 August 23","34","8","1997","UP","10","1997","false","Non_Shuttle","175","1997-10"
"1997 August 23","34","8","1997","UP","11","1997","false","Non_Shuttle","191","1997-11"
"1997 August 23","34","8","1997","UP","12","1997","false","Non_Shuttle","166","1997-12"
"1997 August 30","35","8","1997","BNSF","9","1997","true","Non_Shuttle","229","1997-09"
"1997 August 30","35","8","1997","BNSF","10","1997","false","Non_Shuttle","221","1997-10"
"1997 August 30","35","8","1997","BNSF","11","1997","false","Non_Shuttle","218","1997-11"
"1997 August 30","35","8","1997","BNSF","12","1997","false","Non_Shuttle","193","1997-12"
"1997 August 30","35","8","1997","BNSF","1","1998","false","Non_Shuttle","181","1998-01"
"1997 August 30","35","8","1997","BNSF","2","1998","false","Non_Shuttle","158","1998-02"
"1997 August 30","35","8","1997","UP","9","1997","true","Non_Shuttle","230","1997-09"
"1997 August 30","35","8","1997","UP","10","1997","false","Non_Shuttle","254","1997-10"
"1997 August 30","35","8","1997","UP","11","1997","false","Non_Shuttle","251","1997-11"
"1997 August 30","35","8","1997","UP","12","1997","false","Non_Shuttle","219","1997-12"
"1997 September 06","36","9","1997","BNSF","9","1997","true","Non_Shuttle","271","1997-09"
"1997 September 06","36","9","1997","BNSF","10","1997","false","Non_Shuttle","242","1997-10"
"1997 September 06","36","9","1997","BNSF","11","1997","false","Non_Shuttle","231","1997-11"
"1997 September 06","36","9","1997","BNSF","12","1997","false","Non_Shuttle","206","1997-12"
"1997 September 06","36","9","1997","BNSF","1","1998","false","Non_Shuttle","181","1998-01"
"1997 September 06","36","9","1997","BNSF","2","1998","false","Non_Shuttle","154","1998-02"
"1997 September 06","36","9","1997","UP","9","1997","true","Non_Shuttle","288","1997-09"
"1997 September 06","36","9","1997","UP","10","1997","false","Non_Shuttle","295","1997-10"
"1997 September 06","36","9","1997","UP","11","1997","false","Non_Shuttle","284","1997-11"
"1997 September 06","36","9","1997","UP","12","1997","false","Non_Shuttle","240","1997-12"
"1997 September 06","36","9","1997","UP","1","1998","false","Non_Shuttle","223","1998-01"
"1997 September 06","36","9","1997","UP","2","1998","false","Non_Shuttle","200","1998-02"
"1997 September 13","37","9","1997","BNSF","9","1997","true","Non_Shuttle","249","1997-09"
"1997 September 13","37","9","1997","BNSF","10","1997","false","Non_Shuttle","191","1997-10"
"1997 September 13","37","9","1997","BNSF","11","1997","false","Non_Shuttle","167","1997-11"
"1997 September 13","37","9","1997","BNSF","12","1997","false","Non_Shuttle","153","1997-12"
"1997 September 13","37","9","1997","BNSF","1","1998","false","Non_Shuttle","149","1998-01"
"1997 September 13","37","9","1997","BNSF","2","1998","false","Non_Shuttle","120","1998-02"
"1997 September 13","37","9","1997","UP","9","1997","true","Non_Shuttle","242","1997-09"
"1997 September 13","37","9","1997","UP","10","1997","false","Non_Shuttle","249","1997-10"
"1997 September 13","37","9","1997","UP","11","1997","false","Non_Shuttle","238","1997-11"
"1997 September 13","37","9","1997","UP","12","1997","false","Non_Shuttle","192","1997-12"
"1997 September 13","37","9","1997","UP","1","1998","false","Non_Shuttle","166","1998-01"
"1997 September 13","37","9","1997","UP","2","1998","false","Non_Shuttle","140","1998-02"
"1997 September 20","38","9","1997","BNSF","9","1997","true","Non_Shuttle","148","1997-09"
"1997 September 20","38","9","1997","BNSF","10","1997","true","Non_Shuttle","147","1997-10"
"1997 September 20","38","9","1997","BNSF","11","1997","false","Non_Shuttle","141","1997-11"
"1997 September 20","38","9","1997","BNSF","12","1997","false","Non_Shuttle","130","1997-12"
"1997 September 20","38","9","1997","BNSF","1","1998","false","Non_Shuttle","131","1998-01"
"1997 September 20","38","9","1997","BNSF","2","1998","false","Non_Shuttle","97","1998-02"
"1997 September 20","38","9","1997","UP","9","1997","true","Non_Shuttle","250","1997-09"
"1997 September 20","38","9","1997","UP","10","1997","true","Non_Shuttle","257","1997-10"
"1997 September 20","38","9","1997","UP","11","1997","false","Non_Shuttle","207","1997-11"
"1997 September 20","38","9","1997","UP","12","1997","false","Non_Shuttle","173","1997-12"
"1997 September 20","38","9","1997","UP","1","1998","false","Non_Shuttle","155","1998-01"
"1997 September 20","38","9","1997","UP","2","1998","false","Non_Shuttle","137","1998-02"
"1997 September 27","39","9","1997","BNSF","10","1997","true","Non_Shuttle","236","1997-10"
"1997 September 27","39","9","1997","BNSF","11","1997","false","Non_Shuttle","174","1997-11"
"1997 September 27","39","9","1997","BNSF","12","1997","false","Non_Shuttle","142","1997-12"
"1997 September 27","39","9","1997","BNSF","1","1998","false","Non_Shuttle","137","1998-01"
"1997 September 27","39","9","1997","BNSF","2","1998","false","Non_Shuttle","114","1998-02"
"1997 September 27","39","9","1997","BNSF","3","1998","false","Non_Shuttle","66","1998-03"
"1997 September 27","39","9","1997","UP","10","1997","true","Non_Shuttle","300","1997-10"
"1997 September 27","39","9","1997","UP","11","1997","false","Non_Shuttle","259","1997-11"
"1997 September 27","39","9","1997","UP","12","1997","false","Non_Shuttle","227","1997-12"
"1997 September 27","39","9","1997","UP","1","1998","false","Non_Shuttle","208","1998-01"
"1997 September 27","39","9","1997","UP","2","1998","false","Non_Shuttle","173","1998-02"
"1997 September 27","39","9","1997","UP","3","1998","false","Non_Shuttle","120","1998-03"
"1997 October 04","40","10","1997","BNSF","10","1997","true","Non_Shuttle","278","1997-10"
"1997 October 04","40","10","1997","BNSF","11","1997","false","Non_Shuttle","215","1997-11"
"1997 October 04","40","10","1997","BNSF","12","1997","false","Non_Shuttle","163","1997-12"
"1997 October 04","40","10","1997","BNSF","1","1998","false","Non_Shuttle","160","1998-01"
"1997 October 04","40","10","1997","BNSF","2","1998","false","Non_Shuttle","123","1998-02"
"1997 October 04","40","10","1997","BNSF","3","1998","false","Non_Shuttle","91","1998-03"
"1997 October 04","40","10","1997","UP","10","1997","true","Non_Shuttle","350","1997-10"
"1997 October 04","40","10","1997","UP","11","1997","false","Non_Shuttle","288","1997-11"
"1997 October 04","40","10","1997","UP","12","1997","false","Non_Shuttle","267","1997-12"
"1997 October 04","40","10","1997","UP","1","1998","false","Non_Shuttle","250","1998-01"
"1997 October 04","40","10","1997","UP","2","1998","false","Non_Shuttle","225","1998-02"
"1997 October 04","40","10","1997","UP","3","1998","false","Non_Shuttle","167","1998-03"
"1997 October 11","41","10","1997","BNSF","10","1997","true","Non_Shuttle","325","1997-10"
"1997 October 11","41","10","1997","BNSF","11","1997","false","Non_Shuttle","279","1997-11"
"1997 October 11","41","10","1997","BNSF","12","1997","false","Non_Shuttle","212","1997-12"
"1997 October 11","41","10","1997","BNSF","1","1998","false","Non_Shuttle","199","1998-01"
"1997 October 11","41","10","1997","BNSF","2","1998","false","Non_Shuttle","155","1998-02"
"1997 October 11","41","10","1997","BNSF","3","1998","false","Non_Shuttle","78","1998-03"
"1997 October 11","41","10","1997","UP","11","1997","false","Non_Shuttle","334","1997-11"
"1997 October 11","41","10","1997","UP","1","1998","false","Non_Shuttle","268","1998-01"
"1997 October 11","41","10","1997","UP","2","1998","false","Non_Shuttle","223","1998-02"
"1997 October 11","41","10","1997","UP","3","1998","false","Non_Shuttle","163","1998-03"
"1997 October 18","42","10","1997","BNSF","10","1997","true","Non_Shuttle","241","1997-10"
"1997 October 18","42","10","1997","BNSF","11","1997","true","Non_Shuttle","229","1997-11"
"1997 October 18","42","10","1997","BNSF","12","1997","false","Non_Shuttle","177","1997-12"
"1997 October 18","42","10","1997","BNSF","1","1998","false","Non_Shuttle","174","1998-01"
"1997 October 18","42","10","1997","BNSF","2","1998","false","Non_Shuttle","140","1998-02"
"1997 October 18","42","10","1997","BNSF","3","1998","false","Non_Shuttle","100","1998-03"
"1997 October 18","42","10","1997","UP","11","1997","true","Non_Shuttle","280","1997-11"
"1997 October 18","42","10","1997","UP","12","1997","false","Non_Shuttle","273","1997-12"
"1997 October 18","42","10","1997","UP","1","1998","false","Non_Shuttle","264","1998-01"
"1997 October 18","42","10","1997","UP","2","1998","false","Non_Shuttle","225","1998-02"
"1997 October 18","42","10","1997","UP","3","1998","false","Non_Shuttle","152","1998-03"
"1997 October 25","43","10","1997","BNSF","11","1997","true","Non_Shuttle","151","1997-11"
"1997 October 25","43","10","1997","BNSF","12","1997","false","Non_Shuttle","123","1997-12"
"1997 October 25","43","10","1997","BNSF","1","1998","false","Non_Shuttle","129","1998-01"
"1997 October 25","43","10","1997","BNSF","2","1998","false","Non_Shuttle","109","1998-02"
"1997 October 25","43","10","1997","BNSF","3","1998","false","Non_Shuttle","51","1998-03"
"1997 October 25","43","10","1997","BNSF","4","1998","false","Non_Shuttle","-21","1998-04"
"1997 October 25","43","10","1997","UP","11","1997","true","Non_Shuttle","219","1997-11"
"1997 October 25","43","10","1997","UP","12","1997","false","Non_Shuttle","198","1997-12"
"1997 October 25","43","10","1997","UP","1","1998","false","Non_Shuttle","214","1998-01"
"1997 October 25","43","10","1997","UP","2","1998","false","Non_Shuttle","181","1998-02"
"1997 October 25","43","10","1997","UP","3","1998","false","Non_Shuttle","115","1998-03"
"1997 October 25","43","10","1997","UP","4","1998","false","Non_Shuttle","35","1998-04"
"1997 November 01","44","11","1997","BNSF","11","1997","true","Non_Shuttle","115","1997-11"
"1997 November 01","44","11","1997","BNSF","12","1997","false","Non_Shuttle","92","1997-12"
